,,pilpres2014org,,,Rincian Republika,,KPU,,
,ProvinceName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes,PrabowoHattaVotes,JokowiKallaVotes,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
1,ACEH,1089290,913309,2002599,1089290,913309,1089290,913309,2002599
53241,BALI,614241,1535110,2149351,614241,1535110,614241,1535110,2149351
51578,BANTEN,3192671,2398631,5591302,3192671,2398631,3192671,2398631,5591302
20802,BENGKULU,433173,523669,956842,433173,523669,433173,523669,956842
41863,DAERAH ISTIMEWA YOGYAKARTA,977342,1234249,2211591,977342,1234249,977342,1234249,2211591
25823,DKI JAKARTA,2528064,2859894,5387958,2528064,2859894,2528064,2859894,5387958
74716,GORONTALO,378735,221497,600232,378735,221497,378735,221497,600232
15885,JAMBI,871316,897787,1769103,871316,897787,871316,897787,1769103
26141,JAWA BARAT,14167381,9530315,23697696,14167381,9530315,14167381,9530315,23697696
32676,JAWA TENGAH,6485720,12959540,19445260,6485720,12959540,6485720,12959540,19445260
42385,JAWA TIMUR,10277088,11669313,21946401,10277088,11669313,10277088,11669313,21946401
58285,KALIMANTAN BARAT,1032354,1573046,2605400,1032354,1573046,1032354,1573046,2605400
61965,KALIMANTAN SELATAN,941809,939748,1881557,941809,939748,941809,939748,1881557
60371,KALIMANTAN TENGAH,468277,696199,1164476,468277,696199,468277,696199,1164476
64111,KALIMANTAN TIMUR,687734,1190156,1877890,687734,1190156,687734,1190156,1877890
24993,KEPULAUAN BANGKA BELITUNG,200706,412359,613065,200706,412359,200706,412359,613065
25405,KEPULAUAN RIAU,332908,491819,824727,332908,491819,332908,491819,824727
22328,LAMPUNG,2033924,2299889,4333813,2033924,2299889,2033924,2299889,4333813
76096,MALUKU,433981,443040,877021,433981,443040,433981,443040,877021
77085,MALUKU UTARA,306792,256601,563393,306792,256601,306792,256601,563393
54020,NUSA TENGGARA BARAT,1844178,701238,2545416,1844178,701238,1844178,701238,2545416
55065,NUSA TENGGARA TIMUR,769391,1488076,2257467,769391,1488076,769391,1488076,2257467
78203,PAPUA,769132,2026735,2795867,769132,2026735,769132,2026735,2795867
81877,PAPUA BARAT,172528,360379,532907,172528,360379,172528,360379,532907
14086,RIAU,1349338,1342817,2692155,1349338,1342817,1349338,1342817,2692155
75425,SULAWESI BARAT,165494,456021,621515,165494,456021,165494,456021,621515
69268,SULAWESI SELATAN,1214857,3037026,4251883,1214857,3037026,1214857,3037026,4251883
67393,SULAWESI TENGAH,632009,767151,1399160,632009,767151,632009,767151,1399160
72551,SULAWESI TENGGARA,511134,622217,1133351,511134,622217,511134,622217,1133351
65702,SULAWESI UTARA,620095,724553,1344648,620095,724553,620095,724553,1344648
12920,SUMATERA BARAT,1797505,539308,2336813,1797505,539308,1797505,539308,2336813
17404,SUMATERA SELATAN,2132163,2027049,4159212,2132163,2027049,2132163,2027049,4159212
6728,SUMATERA UTARA,2831514,3494835,6326349,2831514,3494835,2831514,3494835,6326349
,PPLN,313600,364257,677857,172528,360379,313600,364257,677857
,,62576444,70997833,133574277,62435372,70993955,62576444,70997833,133574277
